Tuesday 11 June 2024
2024-06-11 Tuesday Admin 11 HIKAM tidak presensi
2024-06-11 Tuesday Admin 13 NADIA tidak presensi
2024-06-11 Tuesday Admin 15 TAUFIQURROHMAN tidak presensi
2024-06-11 Tuesday Karyawan 21 RAISYA tidak presensi
2024-06-11 Tuesday Karyawan 23 JOKOPIN tidak presensi
2024-06-11 Tuesday Karyawan 24 AHMAD tidak presensi
2024-06-11 Tuesday Karyawan 21 RAISYA tidak lembur
2024-06-11 Tuesday Karyawan 22 MAULANA tidak lembur
Wednesday 12 June 2024
2024-06-12 Wednesday Admin 10 TUHAN tidak presensi
2024-06-12 Wednesday Admin 11 HIKAM tidak presensi
2024-06-12 Wednesday Admin 12 BRILIAN tidak presensi
2024-06-12 Wednesday Admin 13 NADIA tidak presensi
2024-06-12 Wednesday Admin 15 TAUFIQURROHMAN tidak presensi
2024-06-12 Wednesday Karyawan 20 FELIX tidak presensi
2024-06-12 Wednesday Karyawan 21 RAISYA tidak presensi
2024-06-12 Wednesday Karyawan 22 MAULANA tidak presensi
2024-06-12 Wednesday Karyawan 23 JOKOPIN tidak presensi
2024-06-12 Wednesday Karyawan 24 AHMAD tidak presensi
Thursday 13 June 2024
2024-06-13 Thursday Admin 10 TUHAN tidak presensi
2024-06-13 Thursday Admin 12 BRILIAN tidak presensi
2024-06-13 Thursday Admin 13 NADIA tidak presensi
2024-06-13 Thursday Admin 15 TAUFIQURROHMAN tidak presensi
2024-06-13 Thursday Karyawan 20 FELIX tidak presensi
2024-06-13 Thursday Karyawan 21 RAISYA tidak presensi
2024-06-13 Thursday Karyawan 22 MAULANA tidak presensi
2024-06-13 Thursday Karyawan 23 JOKOPIN tidak presensi
2024-06-13 Thursday Karyawan 24 AHMAD tidak presensi
